"state","literacyRate"
"New Hampshire","0.9420"
"Minnesota","0.9400"
"North Dakota","0.9370"
"Vermont","0.9340"
"South Dakota","0.9300"
"Nebraska","0.9270"
"Wisconsin","0.9270"
"Maine","0.9260"
"Iowa","0.9250"
"Missouri","0.9250"
"Kansas","0.9220"
"Indiana","0.9200"
"Michigan","0.9170"
"Rhode Island","0.9150"
"Connecticut","0.9140"
"Montana","0.9120"
"Wyoming","0.9110"
"Ohio","0.9090"
"Alaska","0.9080"
"Utah","0.9060"
"Washington","0.9020"
"Colorado","0.9010"
"Massachusetts","0.9010"
"Oregon","0.8980"
"Idaho","0.8950"
"Delaware","0.8930"
"Maryland","0.8880"
"Virginia","0.8800"
"Kentucky","0.8780"
"Oklahoma","0.8770"
"Pennsylvania","0.8740"
"Illinois","0.8710"
"Arizona","0.8690"
"Tennessee","0.8680"
"West Virginia","0.8660"
"North Carolina","0.8640"
"Arkansas","0.8630"
"South Carolina","0.8530"
"Alabama","0.8520"
"Hawaii","0.8410"
"Louisiana","0.8400"
"Mississippi","0.8400"
"Nevada","0.8390"
"New Mexico","0.8350"
"Georgia","0.8330"
"New Jersey","0.8310"
"Texas","0.8100"
"Florida","0.8030"
"New York","0.7790"
"California","0.7690"